country,continent,year,lifeExp,pop,gdpPercap,pop_rel,pop_perc
Afghanistan,Asia,1957,30.332,9240934,820.8530296,1,0
Afghanistan,Asia,1962,31.997,10267083,853.10071,1.111043862016545,11.104386201654503
Afghanistan,Asia,1967,34.02,11537966,836.1971382,1.2485714106387948,24.857141063879485
Afghanistan,Asia,1972,36.088,13079460,739.9811058,1.415382903935901,41.538290393590096
Afghanistan,Asia,1977,38.438,14880372,786.11336,1.610267100706487,61.026710070648704
Afghanistan,Asia,1982,39.854,12881816,978.0114388,1.3939950225810507,39.399502258105066
Afghanistan,Asia,1987,40.822,13867957,852.3959448,1.500709452096509,50.070945209650894
Afghanistan,Asia,1992,41.674,16317921,649.3413952,1.7658302721348296,76.58302721348295
Afghanistan,Asia,1997,41.763,22227415,635.341351,2.4053212586519934,140.53212586519933
Afghanistan,Asia,2002,42.129,25268405,726.7340548,2.734399466547429,173.4399466547429
Afghanistan,Asia,2007,43.828,31889923,974.5803384,3.45094153902625,245.094153902625
Albania,Europe,1957,59.28,1476505,1942.284244,1,0
Albania,Europe,1962,64.82,1728137,2312.888958,1.1704240757735327,17.04240757735327
Albania,Europe,1967,66.22,1984060,2760.196931,1.343754338793299,34.37543387932991
Albania,Europe,1972,67.69,2263554,3313.422188,1.5330486520533286,53.30486520533286
Albania,Europe,1977,68.93,2509048,3533.00391,1.699315613560401,69.9315613560401
Albania,Europe,1982,70.42,2780097,3630.880722,1.8828903390100271,88.28903390100271
Albania,Europe,1987,72,3075321,3738.932735,2.082838188831057,108.28381888310572
Albania,Europe,1992,71.581,3326498,2497.437901,2.252954104456131,125.29541044561311
Albania,Europe,1997,72.95,3428038,3193.054604,2.3217246131912863,132.17246131912864
Albania,Europe,2002,75.651,3508512,4604.211737,2.3762276456903297,137.62276456903297
Albania,Europe,2007,76.423,3600523,5937.029526,2.4385444004591923,143.85444004591923
Algeria,Africa,1957,45.685,10270856,3013.976023,1,0
Algeria,Africa,1962,48.303,11000948,2550.81688,1.071083851238884,7.1083851238884055
Algeria,Africa,1967,51.407,12760499,3246.991771,1.2423987835093784,24.239878350937836
Algeria,Africa,1972,54.518,14760787,4182.663766,1.437152560604491,43.71525606044911
Algeria,Africa,1977,58.014,17152804,4910.416756,1.6700461967337483,67.00461967337483
Algeria,Africa,1982,61.368,20033753,5745.160213,1.950543654783983,95.0543654783983
Algeria,Africa,1987,65.799,23254956,5681.358539,2.264169218222902,126.41692182229019
Algeria,Africa,1992,67.744,26298373,5023.216647,2.5604850267592107,156.04850267592107
Algeria,Africa,1997,69.152,29072015,4797.295051,2.8305347675013652,183.05347675013653
Algeria,Africa,2002,70.994,31287142,5288.040382,3.0462058858580043,204.62058858580042
Algeria,Africa,2007,72.301,33333216,6223.367465,3.24541751924085,224.54175192408502
Angola,Africa,1957,31.999,4561361,3827.940465,1,0
Angola,Africa,1962,34,4826015,4269.276742,1.058020840709604,5.802084070960389
Angola,Africa,1967,35.985,5247469,5522.776375,1.15041738638972,15.041738638972003
Angola,Africa,1972,37.928,5894858,5473.288005,1.2923462975195341,29.234629751953413
Angola,Africa,1977,39.483,6162675,3008.647355,1.3510605716144808,35.10605716144808
Angola,Africa,1982,39.942,7016384,2756.953672,1.5382215965804942,53.822159658049415
Angola,Africa,1987,39.906,7874230,2430.208311,1.7262895876910422,72.62895876910423
Angola,Africa,1992,40.647,8735988,2627.845685,1.9152152175633546,91.52152175633546
Angola,Africa,1997,40.963,9875024,2277.140884,2.1649292831678966,116.49292831678966
Angola,Africa,2002,41.003,10866106,2773.287312,2.382206977259638,138.22069772596382
Angola,Africa,2007,42.731,12420476,4797.231267,2.722975883732947,172.29758837329473
Argentina,Americas,1957,64.399,19610538,6856.856212,1,0
Argentina,Americas,1962,65.142,21283783,7133.166023,1.0853237682719363,8.532376827193634
Argentina,Americas,1967,65.634,22934225,8052.953021,1.1694847433558426,16.94847433558426
Argentina,Americas,1972,67.065,24779799,9443.038526,1.263596082881561,26.35960828815609
Argentina,Americas,1977,68.481,26983828,10079.02674,1.3759861152202963,37.598611522029636
Argentina,Americas,1982,69.942,29341374,8997.897412,1.4962044386543603,49.62044386543602
Argentina,Americas,1987,70.774,31620918,9139.671389,1.6124452067556738,61.24452067556738
Argentina,Americas,1992,71.868,33958947,9308.41871,1.7316682999721884,73.16682999721884
Argentina,Americas,1997,73.275,36203463,10967.28195,1.846122885562854,84.61228855628539
Argentina,Americas,2002,74.34,38331121,8797.640716,1.95461853213818,95.46185321381799
Argentina,Americas,2007,75.32,40301927,12779.37964,2.0551158259911073,105.51158259911074
Australia,Oceania,1957,70.33,9712569,10949.64959,1,0
Australia,Oceania,1962,70.93,10794968,12217.22686,1.1114431207644444,11.14431207644444
Australia,Oceania,1967,71.1,11872264,14526.12465,1.222360839856067,22.236083985606705
Australia,Oceania,1972,71.93,13177000,16788.62948,1.3566956384042161,35.66956384042162
Australia,Oceania,1977,73.49,14074100,18334.19751,1.449060490586991,44.906049058699104
Australia,Oceania,1982,74.74,15184200,19477.00928,1.5633556889016695,56.335568890166954
Australia,Oceania,1987,76.32,16257249,21888.88903,1.6738361395424837,67.38361395424836
Australia,Oceania,1992,77.56,17481977,23424.76683,1.799933364694758,79.99333646947579
Australia,Oceania,1997,78.83,18565243,26997.93657,1.9114657512343027,91.14657512343027
Australia,Oceania,2002,80.37,19546792,30687.75473,2.012525419381834,101.25254193818338
Australia,Oceania,2007,81.235,20434176,34435.36744,2.103889918311005,110.38899183110051
